worldname	numPredators	numPrey	mean_energy
world_1	10	41	45.0
world_2	1	198	52.45454545454545
world_3	12	74	61.56521739130435
world_4	8	161	76.45161290322581
world_5	17	172	86.70833333333333
world_6	20	199	90.5
world_7	12	156	91.6875
world_8	5	79	91.68235294117648
world_9	15	128	91.86
world_10	5	12	88.82857142857142
world_1	2	132	116.0
world_2	11	83	86.6923076923077
world_3	5	16	69.61111111111111
world_4	10	197	89.5
world_5	1	156	90.62068965517241
world_6	8	50	82.02702702702703
world_7	19	11	57.267857142857146
world_8	11	96	62.92537313432836
world_9	19	60	57.906976744186046
world_10	12	45	56.1530612244898
world_1	9	48	59.111111111111114
world_2	9	104	82.0
world_3	12	190	97.06666666666666
world_4	9	171	101.97435897435898
world_5	20	50	78.15254237288136
world_6	18	169	86.2987012987013
world_7	17	137	87.67021276595744
world_8	8	10	82.04901960784314
world_9	5	136	83.55140186915888
world_10	18	76	78.984
world_1	4	172	123.75
world_2	1	92	120.0
world_3	8	144	117.84615384615384
world_4	3	24	105.9375
world_5	18	72	76.0
world_6	1	121	77.11428571428571
world_7	19	194	89.57407407407408
world_8	6	173	92.81666666666666
world_9	7	143	94.73134328358209
world_10	13	188	99.5375
world_1	12	64	61.416666666666664
world_2	6	194	82.77777777777777
world_3	6	78	87.33333333333333
world_4	17	82	74.6829268292683
world_5	16	62	66.96491228070175
world_6	10	94	71.11940298507463
world_7	20	68	64.70114942528735
world_8	9	158	68.83333333333333
world_9	19	159	73.50434782608696
world_10	9	20	70.05645161290323
world_1	12	128	97.16666666666667
world_2	18	101	79.66666666666667
world_3	4	99	82.58823529411765
world_4	7	120	87.6829268292683
world_5	5	175	91.47826086956522
world_6	3	93	92.36734693877551
world_7	11	175	97.7
world_8	14	89	92.97297297297297
world_9	1	143	93.4
world_10	12	94	91.97701149425288
world_1	1	59	100.0
world_2	14	161	99.26666666666667
world_3	8	199	108.69565217391305
world_4	14	173	111.1891891891892
world_5	8	58	104.42222222222222
world_6	10	142	106.69090909090909
world_7	10	173	108.92307692307692
world_8	13	38	96.61538461538461
world_9	12	37	88.1
world_10	2	40	87.8804347826087
world_1	15	44	36.46666666666667
world_2	6	174	61.333333333333336
world_3	5	7	52.46153846153846
world_4	16	187	74.5
world_5	19	45	60.721311475409834
world_6	8	79	64.6231884057971
world_7	3	195	67.23611111111111
world_8	8	30	64.675
world_9	16	199	73.98958333333333
world_10	2	80	74.57142857142857
world_1	7	178	122.14285714285714
world_2	15	107	93.45454545454545
world_3	1	92	94.04347826086956
world_4	4	121	97.18518518518519
world_5	12	150	103.2051282051282
world_6	11	39	89.92
world_7	18	1	67.02941176470588
world_8	16	181	76.70238095238095
world_9	11	18	69.98947368421052
world_10	2	25	69.8659793814433
world_1	14	34	31.285714285714285
world_2	10	152	66.5
world_3	8	67	67.8125
world_4	7	193	78.0
world_5	17	163	85.25
world_6	10	50	80.92424242424242
world_7	8	109	83.98648648648648
world_8	10	2	74.54761904761905
world_9	12	3	65.88541666666667
world_10	13	142	70.6697247706422
world_1	10	116	103.0
world_2	3	167	106.07692307692308
world_3	20	102	79.39393939393939
world_4	4	28	77.56756756756756
world_5	15	117	81.28846153846153
world_6	18	67	72.2
world_7	10	48	69.975
world_8	16	58	65.67708333333333
world_9	2	20	64.9795918367347
world_10	11	158	69.88990825688073
world_1	1	182	119.0
world_2	20	88	56.95238095238095
world_3	19	116	65.15
world_4	8	48	63.854166666666664
world_5	9	49	63.526315789473685
world_6	8	189	71.29230769230769
world_7	2	60	71.92537313432835
world_8	12	9	62.74683544303797
world_9	6	191	67.10588235294118
world_10	20	4	55.180952380952384
world_1	1	82	102.0
world_2	1	99	107.5
world_3	11	70	76.07692307692308
world_4	2	79	75.26666666666667
world_5	19	171	91.82352941176471
world_6	12	144	97.02173913043478
world_7	3	173	98.63265306122449
world_8	9	101	98.13793103448276
world_9	8	24	90.46969696969697
world_10	5	75	90.7605633802817
world_1	2	119	105.5
world_2	17	90	68.47368421052632
world_3	14	157	84.96969696969697
world_4	14	96	81.29787234042553
world_5	18	136	83.72307692307692
world_6	8	126	86.93150684931507
world_7	9	43	83.3048780487805
world_8	11	74	82.3225806451613
world_9	16	18	72.58715596330275
world_10	19	165	76.171875
world_1	20	112	68.8
world_2	15	63	61.2
world_3	17	146	74.51923076923077
world_4	2	131	75.94444444444444
world_5	3	145	78.36842105263158
world_6	3	146	80.18333333333334
world_7	6	34	78.13636363636364
world_8	10	190	84.19736842105263
world_9	12	68	81.22727272727273
world_10	13	109	82.79207920792079
world_1	9	52	63.44444444444444
world_2	8	94	80.70588235294117
world_3	13	165	94.66666666666667
world_4	1	133	95.51612903225806
world_5	1	76	95.9375
world_6	3	125	97.4
world_7	13	177	102.91666666666667
world_8	6	111	102.38888888888889
world_9	4	66	101.94827586206897
world_10	3	55	101.52459016393442
world_1	16	5	6.5625
world_2	19	25	12.857142857142858
world_3	2	104	18.027027027027028
world_4	10	103	32.723404255319146
world_5	12	101	43.067796610169495
world_6	16	114	50.053333333333335
world_7	15	182	59.37777777777778
world_8	12	34	56.44117647058823
world_9	3	171	58.21904761904762
world_10	20	163	64.76
world_1	3	177	119.0
world_2	8	105	98.27272727272727
world_3	17	193	106.07142857142857
world_4	8	179	108.41666666666667
world_5	19	136	100.61818181818182
world_6	10	101	98.98461538461538
world_7	1	194	99.42424242424242
world_8	18	177	102.11904761904762
world_9	16	104	98.38
world_10	13	54	92.76106194690266
world_1	3	121	109.33333333333333
world_2	16	28	36.63157894736842
world_3	12	184	70.16129032258064
world_4	13	46	62.0
world_5	6	128	68.0
world_6	16	140	73.60606060606061
world_7	9	60	72.72
world_8	20	17	60.03157894736842
world_9	19	192	69.24561403508773
world_10	16	197	75.56153846153846
world_1	8	114	107.125
world_2	14	132	98.27272727272727
world_3	4	21	90.1923076923077
world_4	8	177	98.29411764705883
world_5	2	75	98.58333333333333
world_6	19	87	83.94545454545455
world_7	8	198	89.33333333333333
world_8	16	169	91.30379746835443
world_9	5	43	90.39285714285714
world_10	8	148	92.69565217391305
world_1	8	93	89.0
world_2	7	160	103.46666666666667
world_3	9	156	108.20833333333333
world_4	17	181	111.2439024390244
world_5	17	99	98.8103448275862
world_6	12	126	99.55714285714286
world_7	1	106	99.70422535211267
world_8	4	109	100.2
world_9	18	19	83.80645161290323
world_10	6	110	85.33333333333333
world_1	16	27	22.3125
world_2	4	176	42.4
world_3	4	3	37.083333333333336
world_4	3	4	34.51851851851852
world_5	4	50	41.483870967741936
world_6	4	68	46.628571428571426
world_7	13	88	54.625
world_8	11	88	58.79661016949152
world_9	1	24	59.36666666666667
world_10	9	191	68.07246376811594
world_1	11	101	79.0909090909091
world_2	16	92	72.66666666666667
world_3	4	193	79.7741935483871
world_4	18	80	70.6938775510204
world_5	2	199	72.90196078431373
world_6	4	125	75.49090909090908
world_7	9	112	80.234375
world_8	4	9	76.98529411764706
world_9	2	47	77.55714285714286
world_10	15	106	78.6
world_1	17	160	98.94117647058823
world_2	14	55	75.51612903225806
world_3	17	189	88.72916666666667
world_4	15	20	71.84126984126983
world_5	8	8	65.19718309859155
world_6	14	17	57.1764705882353
world_7	5	11	55.3
world_8	3	188	57.32258064516129
world_9	10	132	62.728155339805824
world_10	11	50	61.75438596491228
world_1	15	84	61.0
world_2	20	155	80.28571428571429
world_3	4	89	82.6923076923077
world_4	20	105	76.69491525423729
world_5	13	103	77.75
world_6	1	96	78.20547945205479
world_7	7	54	77.9375
world_8	10	179	82.97777777777777
world_9	17	102	81.24299065420561
world_10	12	171	85.38655462184875
world_1	2	12	48.5
world_2	20	150	86.72727272727273
world_3	20	133	84.23809523809524
world_4	20	148	86.56451612903226
world_5	3	59	86.86153846153846
world_6	3	74	87.04411764705883
world_7	9	187	91.37662337662337
world_8	3	86	91.3375
world_9	15	74	85.7578947368421
world_10	6	86	86.46534653465346
world_1	20	145	87.75
world_2	15	109	85.88571428571429
world_3	15	21	65.64
world_4	16	47	58.666666666666664
world_5	14	18	51.5375
world_6	6	126	55.86046511627907
world_7	18	24	49.43269230769231
world_8	20	122	53.693548387096776
world_9	18	22	49.16197183098591
world_10	10	8	46.63815789473684
world_1	13	187	121.61538461538461
world_2	9	59	96.95454545454545
world_3	6	84	97.21428571428571
world_4	7	25	85.71428571428571
world_5	14	86	80.44897959183673
world_6	5	155	84.05555555555556
world_7	8	126	86.87096774193549
world_8	14	107	86.59210526315789
world_9	12	100	86.32954545454545
world_10	13	177	90.33663366336634
world_1	11	147	116.18181818181819
world_2	15	66	79.76923076923077
world_3	3	9	74.55172413793103
world_4	10	110	81.43589743589743
world_5	11	5	65.26
world_6	11	167	74.85245901639344
world_7	9	89	77.27142857142857
world_8	20	24	63.888888888888886
world_9	20	126	66.5909090909091
world_10	8	12	63.389830508474574
world_1	10	11	14.1
world_2	4	25	25.857142857142858
world_3	7	169	57.285714285714285
world_4	12	139	74.33333333333333
world_5	9	183	84.04761904761905
world_6	19	46	67.49180327868852
world_7	13	198	77.52702702702703
world_8	9	122	80.87951807228916
world_9	6	68	81.12359550561797
world_10	16	101	80.31428571428572
world_1	18	43	30.666666666666668
world_2	14	93	49.34375
world_3	2	122	53.14705882352941
world_4	15	170	70.3061224489796
world_5	13	89	71.74193548387096
world_6	15	160	79.3896103896104
world_7	9	67	79.23255813953489
world_8	2	26	78.45454545454545
world_9	14	192	84.33333333333333
world_10	7	66	83.57798165137615
world_1	18	103	69.16666666666667
world_2	6	145	81.29166666666667
world_3	11	124	88.91428571428571
world_4	2	159	90.5945945945946
world_5	5	31	86.42857142857143
world_6	1	13	85.95348837209302
world_7	3	170	88.23913043478261
world_8	2	94	89.14583333333333
world_9	9	100	89.6842105263158
world_10	18	106	85.25333333333333
world_1	14	136	97.71428571428571
world_2	9	47	82.0
world_3	7	94	85.76666666666667
world_4	17	74	74.19148936170212
world_5	16	59	67.07936507936508
world_6	14	28	59.37662337662338
world_7	3	190	61.775
world_8	18	89	61.69387755102041
world_9	3	69	62.693069306930695
world_10	18	30	56.51260504201681
world_1	19	37	24.94736842105263
world_2	13	55	35.375
world_3	8	29	36.5
world_4	7	33	38.51063829787234
world_5	10	64	44.36842105263158
world_6	8	153	53.323076923076925
world_7	15	187	65.55
world_8	11	33	61.8021978021978
world_9	19	110	63.03636363636364
world_10	13	47	60.96747967479675
world_1	3	170	124.33333333333333
world_2	8	124	114.45454545454545
world_3	4	54	108.6
world_4	14	44	74.65517241379311
world_5	7	82	78.38888888888889
world_6	7	83	79.67441860465117
world_7	18	94	74.93442622950819
world_8	6	107	78.0
world_9	10	17	70.55844155844156
world_10	1	77	70.93589743589743
world_1	2	88	103.5
world_2	7	177	117.0
world_3	19	78	72.07142857142857
world_4	7	5	59.02857142857143
world_5	17	49	51.84615384615385
world_6	20	99	54.43055555555556
world_7	15	48	51.87356321839081
world_8	9	120	57.34375
world_9	7	41	57.262135922330096
world_10	1	123	57.83653846153846
world_1	17	70	49.470588235294116
world_2	2	183	56.94736842105263
world_3	2	12	55.285714285714285
world_4	4	188	66.2
world_5	13	129	76.57894736842105
world_6	4	174	80.9047619047619
world_7	2	105	82.06818181818181
world_8	12	183	90.0
world_9	6	187	93.33870967741936
world_10	7	172	96.2463768115942
world_1	5	40	53.6
world_2	4	16	42.111111111111114
world_3	20	165	79.55172413793103
world_4	10	2	60.38461538461539
world_5	2	177	63.34146341463415
world_6	12	121	70.47169811320755
world_7	1	194	71.44444444444444
